ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
111,14017702,BARRANCAVIEJA AUTOM ,LG,HID,AUT,ACT,BOLÍVAR,CALAMAR,10.1645278,-74.940667,1/4/2014,
112,14019030,ESC NAVAL CIOH AUTOM ,LG,HID,AUT,ACT,BOLÍVAR,CARTAGENA DE INDIAS,10.3905639,-75.533831,15/07/1991,
113,15017010,GAIRA ,LM,HID,CON,SUS,MAGDALENA,SANTA MARTA,11.1833333,-74.183333,15/09/1964,15/02/1981
114,15017020,REVUELTA LA ,LM,HID,CON,ACT,MAGDALENA,SANTA MARTA,11.2776389,-73.941556,15/05/1965,
115,15017030,MINCA    ,LG,HID,CON,ACT,MAGDALENA,SANTA MARTA,11.1589167,-74.122917,15/05/1965,
116,15017040,GUACHACA    ,LG,HID,CON,ACT,MAGDALENA,SANTA MARTA,11.2560278,-73.876722,15/11/1973,
117,15017050,SAN P. ALEJANDRINO ,LM,HID,CON,SUS,MAGDALENA,SANTA MARTA,11.2333333,-74.183333,15/10/1972,15/07/1987
118,15017060,BOCAT STA MARTA  ,LG,HID,CON,SUS,MAGDALENA,SANTA MARTA,11.2535833,-74.139306,15/10/1973,6/1/2016
119,15017070,NARANJOS LOS ,LG,HID,CON,SUS,MAGDALENA,SANTA MARTA,11.2833333,-73.916667,15/09/1973,15/11/1981
120,15017080,BURITACA ,LM,HID,CON,ACT,MAGDALENA,SANTA MARTA,11.2494444,-73.7625,15/12/1999,
121,15027010,PTE CARRETERA ,LG,HID,CON,ACT,MAGDALENA,SANTA MARTA,11.2441667,-73.685278,15/12/1973,
122,15037010,ANCHO    ,LG,HID,CON,ACT,LA GUAJIRA,DIBULLA,11.2050556,-73.461306,15/09/1971,
123,15037020,PTE CARRETERA ,LG,HID,CON,ACT,LA GUAJIRA,DIBULLA,11.2445556,-73.568611,15/10/1973,
124,15037030,MINGUEO ,LM,HID,CON,ACT,LA GUAJIRA,DIBULLA,11.2122222,-73.403333,15/06/1990,
125,15047010,ANAIME ,LG,HID,CON,SUS,LA GUAJIRA,RIOHACHA,11.2333333,-73.05,15/10/1975,15/10/1980
126,15047020,PTE BOMBA ,LM,HID,CON,ACT,LA GUAJIRA,RIOHACHA,11.2520556,-73.163389,15/10/1975,
127,15067010,LOMA LINDA   ,LG,HID,CON,ACT,LA GUAJIRA,BARRANCAS,11.0141389,-72.644444,15/12/1985,
128,15067020,CERCADO EL-AUTOMAT   ,LG,HID,CON,ACT,LA GUAJIRA,FONSECA,10.9075,-73.008333,4/9/2004,
129,15067030,EJEMPLO EL ,LM,HID,CON,SUS,LA GUAJIRA,ALBANIA,11.1166667,-72.583333,15/12/1977,1/8/2003
130,15067040,GUAMITO HDA ,LG,HID,CON,ACT,LA GUAJIRA,BARRANCAS,11.0710278,-72.668222,15/03/1979,
131,15067050,CUESTECITAS AUTOMATICA ,LG,HMT,AUT,ACT,LA GUAJIRA,ALBANIA,11.1803333,-72.553444,15/03/1958,
132,15067060,ESPERANZA LA ,LM,HID,CON,ACT,LA GUAJIRA,ALBANIA,11.1423333,-72.508194,15/03/1979,
133,15067070,HOLANDA LA ,LM,HID,CON,SUS,LA GUAJIRA,ALBANIA,11.1666667,-72.533333,15/03/1979,15/02/2002
134,15067080,MAGUEYES LOS ,LM,HID,CON,ACT,LA GUAJIRA,BARRANCAS,10.9467222,-72.772278,15/07/1980,
135,15067090,CAMPAMENTO ,LG,HID,CON,SUS,LA GUAJIRA,BARRANCAS,11,-72.666667,15/10/1981,15/06/1996
136,15067100,MIRA LA ,LG,HID,CON,SUS,LA GUAJIRA,HATO NUEVO,11.1166667,-72.7,15/12/1985,15/09/1995
137,15067110,REMEDIOS ,LG,HID,CON,ACT,LA GUAJIRA,ALBANIA,11.0959167,-72.534806,15/12/1985,
138,15067120,GUACAMAYO ,LM,HID,CON,SUS,LA GUAJIRA,HATO NUEVO,11.0633889,-72.776694,15/08/1987,15/02/2001
139,15067130,POZO HONDO   ,LG,HID,CON,ACT,LA GUAJIRA,BARRANCAS,10.9985556,-72.819556,15/07/1987,
140,15067140,CHANCLETA LA ,LM,HID,CON,SUS,LA GUAJIRA,BARRANCAS,11.0333333,-72.633333,15/04/1988,15/06/1988
141,15067150,PTE GUAJIRO AUTOMATICA ,LG,HID,AUT,ACT,LA GUAJIRA,BARRANCAS,10.9264444,-72.804389,22/07/2008,
142,15067160,ABAJO BOCATOMA ,LG,HID,CON,ACT,LA GUAJIRA,BARRANCAS,11.0330556,-72.708722,15/02/1989,
143,15067170,SAN FRANCISCO ,LG,HID,AUT,ACT,LA GUAJIRA,BARRANCAS,10.9912222,-72.756083,22/07/2008,
144,15067180,AREMASAHIN AUTOMATICA ,LG,HID,AUS,ACT,LA GUAJIRA,RIOHACHA,11.4807778,-72.715167,1/5/2007,
145,15067190,AREMASAHIN AUTOMATICA ,LG,HID,AUT,SUS,LA GUAJIRA,RIOHACHA,11.4807778,-72.715167,22/06/2010,10/12/2010
146,15067200,EL SILENCIO AUTOMATICA ,LG,HID,AUT,ACT,LA GUAJIRA,FONSECA,10.9170833,-72.915333,25/06/2010,
