ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
1836,15067170,SAN FRANCISCO ,LG,HID,AUT,ACT,LA GUAJIRA,BARRANCAS,10.9912222,-72.756083,22/07/2008,
1837,15067180,AREMASAHIN AUTOMATICA ,LG,HID,AUS,ACT,LA GUAJIRA,RIOHACHA,11.4807778,-72.715167,1/5/2007,
1838,15067190,AREMASAHIN AUTOMATICA ,LG,HID,AUT,SUS,LA GUAJIRA,RIOHACHA,11.4807778,-72.715167,22/06/2010,10/12/2010
1839,15067200,EL SILENCIO AUTOMATICA ,LG,HID,AUT,ACT,LA GUAJIRA,FONSECA,10.9170833,-72.915333,25/06/2010,
1840,15067210,CARACOLI AUTOMATICA,LG,HMT,AUT,ACT,LA GUAJIRA,SAN JUAN DEL CESAR,10.9501111,-73.051028,1/12/2011,
1841,15067220,PTE CARRETERA ,HA,HMT,AUT,ACT,LA GUAJIRA,RIOHACHA,11.5109722,-72.855944,1/12/2011,
1842,15067280,JOTOMANA ,LM,HID,CON,ACT,LA GUAJIRA,ALBANIA,10.9077778,-73.004722,1/11/2012,
1843,15067290,PORCIOSA ,LM,HID,CON,ACT,LA GUAJIRA,ALBANIA,10.9533333,-73.058056,1/11/2012,
1844,15070010,SANTANA URRAICH   ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.0865833,-72.050194,15/08/1971,
1845,15070020,NUEVO AMBIENTE   ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.3439167,-71.819194,15/07/1971,
1846,15070030,SAN FRANCISCO ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,12.3166667,-71.5,15/09/1971,15/10/1979
1847,15070040,PORTETE JAYARIMA ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,12.35,-71.716667,15/08/1971,15/10/1979
1848,15070050,CARIMAYA ,PM,MET,CON,SUS,LA GUAJIRA,URIBIA,12.2,-71.733333,15/07/1971,15/10/1979
1849,15070060,BUENOS AIRES   ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.2734167,-71.415889,15/07/1971,
1850,15070070,IRRAIPA ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.1263611,-71.952278,15/08/1971,
1851,15070080,KAURAQUIMANA    ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.2183611,-71.458694,15/07/1971,
1852,15070090,PERPANA ,PM,MET,CON,ACT,LA GUAJIRA,URIBIA,12.0885556,-71.819306,15/07/1971,
