ID_ES,COD_CATALOGO_ES,NOMBRE_ES,CATEGORIA_ES,CLASE_ES,TIPO_ES,ESTADO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,FECHA_INSTALACION,FECHA_SUSPENSION
2731,35195040,PAJARITO VILLA MAR ,CO,MET,CON,SUS,CASANARE,AGUAZUL,5.2833333,-72.7,15/02/1972,15/11/1974
2732,35195050,CORINTO ,CO,MET,CON,ACT,BOYACÁ,PAJARITO,5.4072778,-72.717222,15/06/1984,
2733,35195060,Toquilla - Aut ,CO,MET,AUT,ACT,BOYACÁ,AQUITANIA,5.5236111,-72.790972,15/12/2016,
2734,35200010,PATAGONIA LA ,PM,MET,CON,SUS,CASANARE,MANÍ,4.5666667,-71.833333,15/06/1983,15/02/1991
2735,35200020,ROMERENA LA ,PM,MET,CON,SUS,CASANARE,OROCUÉ,4.6833333,-71.583333,15/06/1983,15/03/1985
2736,35210010,MORRO EL   ,PM,MET,CON,ACT,CASANARE,YOPAL,5.4530556,-72.45625,15/11/1974,
2737,35210020,YOPAL ,PM,MET,CON,SUS,CASANARE,YOPAL,5.35,-72.4,15/10/1960,15/12/1992
2738,35210040,MOLINOS D CASANARE  ,PG,MET,CON,ACT,CASANARE,YOPAL,5.41325,-72.298306,15/11/1995,
2739,35210050,CHAPARRERA LA   ,PG,MET,CON,ACT,CASANARE,YOPAL,5.4918889,-72.229361,15/11/1995,
2740,35210060,DESECHO EL HDA  ,PG,MET,CON,ACT,CASANARE,NUNCHÍA,5.6091111,-72.067806,15/11/1995,
2741,35215010,APTO YOPAL ,CP,MET,CON,ACT,CASANARE,YOPAL,5.3204444,-72.3875,15/11/1974,
2742,35215020,APTO YOPAL AUTOMATICA ,CP,MET,AUT,ACT,CASANARE,YOPAL,5.3204444,-72.3875,17/11/2005,
2743,35215030,Pisba - Aut ,CO,MET,AUT,ACT,BOYACÁ,PISVA,5.7205556,-72.488472,15/12/2016,
2744,35220010,MODULOS ,PM,MET,CON,SUS,CASANARE,OROCUÉ,4.9104722,-71.433056,15/04/1979,15/04/1981
2745,35220020,OROCUE ,PM,MET,CON,SUS,CASANARE,OROCUÉ,4.7932778,-71.329111,15/01/1932,15/12/1960
2746,35220030,OROCUE ,PG,MET,CON,ACT,CASANARE,OROCUÉ,4.7932778,-71.329111,15/04/1981,
2747,35220040,MACUCUANA ,PM,MET,CON,ACT,CASANARE,OROCUÉ,4.9081667,-71.531389,15/06/1983,
2748,35225010,MODULOS ,CO,MET,CON,SUS,CASANARE,OROCUÉ,4.8,-71.333333,15/04/1978,15/05/1981
2749,35225020,MODULOS ,CO,MET,CON,ACT,CASANARE,OROCUÉ,4.9104722,-71.433056,15/04/1981,
2750,35225030,Modulos - Aut ,CO,MET,AUT,ACT,CASANARE,OROCUÉ,4.9104722,-71.433056,15/12/2016,
2751,35230010,SAN LUIS  PALENQUE ,PM,MET,CON,ACT,CASANARE,SAN LUIS DE PALENQUE,5.4205,-71.728056,15/11/1974,
2752,35230020,PORE    ,PM,MET,CON,ACT,CASANARE,PORE,5.7261389,-71.992889,15/09/1990,
2753,35230030,TABLON DE TAMARA  ,PG,MET,CON,ACT,CASANARE,TÁMARA,5.7471944,-72.103,15/10/1960,
2754,35230040,BANCO EL   ,PG,MET,CON,ACT,CASANARE,PORE,5.6343889,-72.002639,15/11/1995,
2755,35235010,CARDON EL ,CO,MET,CON,ACT,BOYACÁ,SOCOTÁ,6.0116667,-72.529278,15/05/1974,
2756,35235020,TAMARA    ,CO,MET,CON,ACT,CASANARE,TÁMARA,5.8185833,-72.166778,15/11/1995,
2757,35235030,TRINIDAD ,CP,MET,CON,ACT,CASANARE,TRINIDAD,5.4190278,-71.666167,15/11/1995,
2758,35235040,Trinidad - Aut ,CO,MET,AUT,ACT,CASANARE,TRINIDAD,5.4190278,-71.666167,15/12/2016,
2759,35235050,Tamara - Aut ,CO,MET,AUT,ACT,CASANARE,TÁMARA,5.8185833,-72.166778,15/12/2017,
2760,35250010,AURORA LA ,PM,MET,CON,ACT,VICHADA,LA PRIMAVERA,6.0956111,-69.423417,15/06/1983,
2761,35250020,PATEVACAL ,PM,MET,CON,ACT,VICHADA,LA PRIMAVERA,6.1766111,-69.127806,15/06/1983,
2762,35250030,PTO FORTUNA ,PM,MET,CON,ACT,VICHADA,LA PRIMAVERA,6.1457222,-68.777583,15/06/1983,
2763,35250040,ACEITICO ,PM,MET,CON,ACT,VICHADA,PUERTO CARREÑO,6.1754167,-68.394361,15/06/1983,
2764,35260010,BONANZA ,PM,MET,CON,ACT,VICHADA,SANTA ROSALÍA,5.1433056,-70.8545,15/06/1983,
2765,35260020,STA MARIA ,PM,MET,CON,ACT,VICHADA,SANTA ROSALÍA,5.2708333,-70.705583,15/06/1983,
2766,35260030,HATO BURRUNAY ,PM,MET,CON,ACT,VICHADA,SANTA ROSALÍA,5.3519444,-70.678278,15/06/1983,
2767,35260040,PTO MISTER ,PM,MET,CON,SUS,VICHADA,LA PRIMAVERA,5.4166667,-70.6,15/06/1983,15/10/1984
2768,35260050,VUELTA MALA ,PM,MET,CON,ACT,VICHADA,LA PRIMAVERA,5.5613611,-70.280639,15/06/1983,
2769,35260060,PTO INFANTE ,PM,MET,CON,SUS,VICHADA,LA PRIMAVERA,5.7333333,-70.033333,15/06/1983,15/01/1990
2770,35260070,AGUAVERDE ,PM,MET,CON,ACT,VICHADA,LA PRIMAVERA,5.7919444,-69.987139,15/06/1983,
2771,35260080,SAN JORGE ,PM,MET,CON,ACT,VICHADA,LA PRIMAVERA,6.0103056,-69.843889,15/06/1983,
2772,36010010,PAZ DE ARIPORO ,PM,MET,CON,SUS,CASANARE,PAZ DE ARIPORO,5.8785278,-71.887194,15/09/1990,15/08/1995
2773,36010020,AGUADA LA   ,PG,MET,CON,ACT,CASANARE,PAZ DE ARIPORO,5.9000028,-72.004167,15/11/1995,
2774,36010030,STA RITA   ,PG,MET,CON,ACT,CASANARE,HATO COROZAL,5.93425,-71.833917,15/11/1995,
2775,36015010,PAZ DE ARIPORO  ,CP,MET,CON,ACT,CASANARE,PAZ DE ARIPORO,5.8785278,-71.887194,15/09/1995,
2776,36015020,EL DIAMANTE AUTOMATICA ,CP,MET,AUT,ACT,CASANARE,PAZ DE ARIPORO,5.8161944,-71.419833,19/11/2005,
2777,36020010,PTE QUEMADO ,PM,MET,CON,ACT,CASANARE,SÁCAMA,6.0882222,-72.190639,15/02/1984,
2778,36020020,CABUYA LA ,PM,MET,CON,ACT,CASANARE,HATO COROZAL,6.1279167,-72.010222,15/02/1984,
2779,36020030,STA INES   ,PM,MET,CON,ACT,ARAUCA,TAME,6.2348889,-71.9755,15/02/1984,
2780,36020040,SAN SALVADOR ,PM,MET,CON,SUS,CASANARE,HATO COROZAL,6.2333333,-71.616667,15/02/1984,15/08/2003
2781,36025010,TAME ,CO,MET,CON,ACT,ARAUCA,TAME,6.4561944,-71.745028,15/02/1985,
2782,36030020,PARAISO EL ,PM,MET,CON,ACT,ARAUCA,CRAVO NORTE,6.0417778,-69.63875,15/06/1983,
2783,36030030,MORICHAL ,PM,MET,CON,ACT,ARAUCA,TAME,6.5706389,-71.707639,15/12/1982,
2784,36030040,BANADIA ,PM,MET,CON,SUS,ARAUCA,SARAVENA,6.8,-71.833333,15/12/1982,15/11/1993
2785,37010010,LABATECA ,PM,MET,CON,ACT,NORTE DE SANTANDER,LABATECA,7.2980556,-72.500556,15/04/1955,
